date,nation,visitor,growth,share,age0-20,age21-30,age31-40,age41-50,age51-60,age61,male,female,crewman,tourism,business,official affairs,studying,others
2019-1,China,392814,28.73786981,35.55511707,36520,108591,103657,48574,40893,40998,147511,231722,13581,320113,2993,138,8793,60777
2019-1,Japan,206526,23.60683014,18.69346843,18015,57921,34165,39811,33857,20330,75070,129029,2427,198805,2233,127,785,4576
2019-1,Taiwan,87954,16.00369296,7.961057311,18888,17927,18595,18862,8169,4566,30805,56202,947,86393,74,22,180,1285
2019-1,Hong Kong,35896,3.533212195,3.249086036,3890,11384,7400,5461,4629,2137,12172,22729,995,34653,59,2,90,1092
2019-1,Macao,2570,-12.37640641,0.232620657,223,1013,762,264,181,92,748,1787,35,2506,2,0,17,45
2019-1,Phillipines,30473,0.062389177,2.758229295,1436,5051,5486,3140,1831,811,10460,7295,12718,14279,211,161,184,15638
2019-1,Indonesia,18842,10.61406599,1.705462422,2732,4213,3643,2895,1488,613,7295,8289,3258,14183,136,38,187,4298
2019-1,Thailand,41334,-8.026078636,3.741300485,3310,10977,10551,5821,3403,1873,12205,23730,5399,34004,37,199,96,6998
2019-1,Vietnam,20183,23.93613755,1.826841527,1824,5484,4200,1963,1095,450,7457,7559,5167,10739,763,110,1667,6904
2019-1,India,8671,16.84409109,0.784845805,258,1421,2310,1322,522,197,5123,907,2641,2318,2656,46,177,3474
2019-1,Malaysia,22065,-0.217066884,1.997188639,2923,6643,4546,2689,1946,769,8240,11276,2549,19043,95,7,99,2821
2019-1,Singapore,9855,1.976407285,0.892014232,670,2276,2044,1771,1342,522,4175,4450,1230,8372,94,8,48,1333
2019-1,Mongolia,9785,-9.339386639,0.885678261,1551,1807,2840,2105,970,465,4624,5114,47,8358,77,304,484,562
2019-1,Uzbekistan,5754,5.947339348,0.520816833,233,1614,1896,949,394,203,3863,1426,465,1958,561,0,407,2828
2019-1,Myanmar,5289,-11.67334669,0.478727882,27,1070,994,324,108,17,2290,250,2749,1304,10,31,67,3877
2019-1,*GCC,1776,-1.606648199,0.160752641,247,477,521,289,140,70,1132,612,32,1550,37,14,72,103
2019-1,Kazakhstan,3574,-9.33536276,0.323496587,343,928,857,479,402,260,1521,1748,305,2185,24,7,92,1266
2019-1,Turkey,1785,-7.704239917,0.161567266,57,239,300,206,89,24,681,234,870,792,13,32,36,912
2019-1,Cambodia,2695,10.85972851,0.243934892,124,1392,685,109,58,28,1666,730,299,635,39,55,51,1915
2019-1,Sri Lanka,1287,-14.2,0.116491356,13,373,550,151,31,8,1036,90,161,157,54,5,28,1043
2019-1,Bangladesh,1247,1.299756296,0.112870801,26,342,403,123,48,12,897,57,293,149,126,27,97,848
2019-1,Pakistan,1032,-10.7266436,0.093410318,62,328,378,147,67,17,857,142,33,238,178,10,193,413
2019-1,Israel,805,-0.494437577,0.072863669,19,80,170,223,120,178,591,199,15,727,12,0,9,57
2019-1,Iran,184,-66.78700361,0.016654553,9,30,73,39,12,6,122,47,15,60,45,10,23,46
2019-1,Asia others,4554,16.67947733,0.412200184,247,1605,1349,500,209,108,2990,1028,536,1561,308,70,205,2410
2019-1,USA,62737,4.744970365,5.678568939,5601,10672,10618,10137,11530,8972,32907,24623,5207,42989,418,2578,229,16523
2019-1,Canada,12460,0.346299428,1.127802875,959,2190,2299,1847,2184,1722,5783,5418,1259,8034,57,30,43,4296
2019-1,Brazil,1605,14.07249467,0.145274768,215,389,357,213,92,53,727,592,286,1136,16,9,41,403
2019-1,Mexico,1853,32.07412687,0.167722209,153,388,353,239,174,88,784,611,458,1282,11,7,38,515
2019-1,America others,2266,10.86105675,0.205104439,195,666,491,248,159,110,933,936,397,1541,24,33,128,540
2019-1,Russia,25194,14.86277013,2.280406552,2569,4480,5325,3866,2520,1299,10572,9487,5135,17260,181,37,191,7525
2019-1,UK,10148,7.968932865,0.918534798,923,1669,1801,1682,1695,1623,5903,3490,755,7982,175,17,41,1933
2019-1,Germany,6850,-6.522925764,0.62002004,357,1074,1414,1217,1377,502,4487,1454,909,4925,278,19,177,1451
2019-1,France,5574,-5.381089798,0.504524336,437,1316,1151,1135,704,238,3390,1591,593,3773,297,48,288,1168
2019-1,Italy,2731,-1.08656284,0.247193391,79,369,581,651,417,155,1750,502,479,1968,83,17,40,623
2019-1,Netherland,2269,-2.576212967,0.205375981,108,472,319,398,394,133,1335,489,445,1592,47,16,77,537
2019-1,Ukraine,2262,38.85819521,0.204742384,36,275,243,132,118,34,594,244,1424,593,58,3,28,1580
2019-1,Spain,1368,-16.17647059,0.12382298,61,312,348,281,154,58,841,373,154,1010,36,15,52,255
2019-1,Romania,872,19.12568306,0.078928098,57,92,128,89,65,13,315,129,428,412,8,4,3,445
2019-1,Norway,801,-19.33534743,0.072501613,41,168,139,139,144,57,511,177,113,552,66,4,28,151
2019-1,Sweden,982,4.246284501,0.088884625,69,217,187,206,196,69,664,280,38,844,29,6,18,85
2019-1,Poland,1324,-11.96808511,0.11984037,35,214,284,168,61,39,559,242,523,713,10,0,27,574
2019-1,Swiss,747,-29.32828761,0.067613864,41,166,120,128,164,81,493,207,47,613,18,0,19,97
2019-1,Portugal,564,-4.72972973,0.051049825,27,142,119,88,73,18,256,211,97,416,14,0,13,121
2019-1,Austria,776,-2.389937107,0.070238767,33,151,144,129,114,78,480,169,127,544,8,2,13,209
2019-1,Finland,859,-13.84152457,0.077751418,20,127,116,100,82,24,314,155,390,412,23,1,18,405
2019-1,Belgium,709,-6.092715232,0.064174337,28,134,142,133,129,39,460,145,104,490,24,4,22,169
2019-1,Croatia,491,-0.405679513,0.044442312,6,57,74,58,46,12,224,29,238,226,12,0,3,250
2019-1,Greece,775,8.848314607,0.070148253,7,95,164,130,72,51,475,44,256,481,17,4,0,273
2019-1,Bulgaria,431,17.75956284,0.03901148,3,38,49,46,28,15,140,39,252,154,1,1,10,265
2019-1,Denmark,751,7.439198856,0.06797592,56,130,101,168,124,52,478,153,120,520,21,6,16,188
2019-1,Ireland,595,0.506756757,0.053855755,23,140,151,105,77,46,379,163,53,392,15,1,2,185
2019-1,Europe others,2965,23.23358271,0.268373638,187,533,556,428,261,144,1282,827,856,1809,44,25,91,996
2019-1,Austrailia,14285,22.21937029,1.292990696,3194,3154,2068,2471,1937,1165,7126,6863,296,12795,93,17,34,1346
2019-1,New Zealand,2725,2.482136141,0.246650308,438,611,484,350,442,239,1376,1188,161,2029,20,17,5,654
2019-1,Oceania others,614,11.23188406,0.055575519,68,124,199,106,48,27,356,216,42,555,3,4,0,52
2019-1,South Africa,1000,10.74197121,0.090513874,36,371,236,94,59,47,390,453,157,368,9,1,6,616
2019-1,Africa others,2690,19.82182628,0.243482322,68,630,671,403,186,51,1596,413,681,768,718,90,206,908
2019-1,Stateless,54,-18.18181818,0.004887749,1,10,10,14,4,2,32,9,13,33,4,0,1,16
2019-1,Overseas Korean,15526,-19.11856637,1.405318414,439,1163,1618,3202,4785,4319,6475,9051,0,0,0,0,0,15526
2019-2,China,453379,31.2844406,37.72493306,33333,136272,122438,64289,51696,35050,191410,251668,10301,324291,2694,143,38731,87520
